VNum           0
Polymorph      0
Size	      2
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		1
Race_Full      Human~
Race_Name      Hum~
MCha           18
MIregen        -200
LHuman         100
END
VNum           1
Polymorph      0
Size	      2
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		1
Swimming		1
Race_Full      Elf~
Race_Name      Elf~
MStr           -1
MInt           2
MWis           1
MDex           1
MCon           -2
MCha           20
MIpositive     -5
MInegative     5
MIregen        -200
MIdegen        10
LHuman         100
LElf           100
LPixie         25
LDrow          25
END
VNum           2
Polymorph      0
Size	      1
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		1
Swimming		0
Race_Full      Dwarf~
Race_Name      Dwa~
MStr           1
MInt           -1
MWis           -1
MDex           -1
MCon           2
MAgi           -1
MCha           18
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdegen        -5
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
LHuman         100
LDwarf         100
END
VNum           3
Polymorph      0
Size	      2
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		0
Race_Full      Quicksilver~
Race_Name      Qui~
MInt           -1
MWis           -2
MDex           -1
MAgi           3
MCha           15
MIheat         10
MIpositive     5
MIcold         10
MInegative     5
MIregen        -180
MIdegen        5
MIdynamic      -15
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      10
MIbash         -15
MIinternal     -50
LHuman         100
LQuicksilver   100
END
VNum           4
Polymorph      0
Size	      3
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		0
Race_Full      Maudlin~
Race_Name      Mau~
MStr           2
MInt           -2
MWis           -2
MDex           -1
MCon           2
MAgi           -1
MCha           10
MIheat         20
MIcold         -20
MIholy         50
MIunholy       -50
MIdegen        -200
MIdynamic      10
MIpierce       -25
MIslash        -25
MIscratch      -25
MIbash         -25
MIinternal     -100
LHuman         100
LMaudlin       100
END
VNum           5
Polymorph      0
Size	      0
Claws	      0
Gills	      0
Flying	      1
Acidblood	0
Truesight	0
Infrared		1
Swimming		0
Race_Full      Pixie~
Race_Name      Pix~
MStr           -2
MInt           2
MWis           1
MDex           2
MCon           -2
MAgi           1
MCha           22
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdegen        10
MIdynamic      -30
MIvoid         30
MIpierce       15
MIslash        15
MIscratch      15
MIbash         15
MIinternal     15
LHuman         100
LElf           25
LDwarf         25
LPixie         100
END
VNum           6
Polymorph      0
Size	      3
Claws	      1
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		1
Swimming		1
Race_Full      Felixi~
Race_Name      Fel~
MStr           1
MWis           -1
MDex           3
MAgi           1
MCha           20
MIheat         -5
MIpositive     -5
MIcold         5
MInegative     -5
MIregen        -200
MIdegen        -5
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
LHuman         100
LFelixi        100
LCentaur       50
END
VNum           7
Polymorph      0
Size	      2
Claws	      2
Gills	      0
Flying	      0
Acidblood	1
Truesight	0
Infrared		1
Swimming		1
Race_Full      Draconi~
Race_Name      Dra~
MStr           1
MInt           -1
MWis           -1
MCon           1
MAgi           1
MCha           13
MIheat         5
MIcold         15
MIregen        -210
MIdegen        -5
MIslash        -5
MIscratch      -5
LHuman         100
LDraconi       100
END
VNum           8
Polymorph      0
Size	      1
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		1
Swimming		0
Race_Full      Goblin~
Race_Name      Gob~
MStr           -1
MInt           -1
MWis           -1
MDex           3
MAgi           2
MCha           13
MIheat         5
MIpositive     5
MIcold         5
MInegative     5
MIregen        -200
MIdynamic      5
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      5
MIbash         5
LHuman         100
END
VNum           9
Polymorph      0
Size	      5
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		1
Race_Full      Centaur~
Race_Name      Cen~
MStr           1
MInt           1
MWis           1
MDex           1
MCon           1
MAgi           -1
MCha           18
MIheat         -5
MIpositive     -5
MIcold         -5
MInegative     -5
MIregen        -200
MIdegen        -10
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
LHuman         100
LElf           15
LFelixi        50
LCentaur       100
END
VNum           10
Polymorph      0
Size	      1
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		0
Race_Full      Kender~
Race_Name      Ken~
MStr           -2
MDex           5
MCon           -2
MAgi           3
MCha           23
MIheat         5
MIpositive     5
MIcold         5
MInegative     5
MIregen        -210
MIdynamic      5
MIvoid         5
MIpierce       5
MIslash        5
MIscratch      5
MIbash         5
MIinternal     5
LHuman         100
LKender        100
END
VNum           11
Polymorph      0
Size	      5
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		0
Race_Full      Minotaur~
Race_Name      Min~
MStr           2
MInt           -1
MWis           2
MCon           2
MAgi           -2
MCha           15
MIheat         -10
MIpositive     -10
MIcold         -10
MInegative     -10
MIregen        -200
MIdynamic      -10
MIvoid         -10
MIpierce       -5
MIslash        -5
MIscratch      -5
MIbash         -5
MIinternal     -5
LHuman         100
LMinotaur      100
END
VNum           12
Polymorph      0
Size	      2
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		0
Swimming		0
Race_Full      Drow~
Race_Name      Dro~
MInt           2
MDex           1
MCon           -1
MCha           15
MIheat         -10
MIpositive     -10
MIcold         -10
MIregen        -180
LHuman         100
LElf           25
LDrow          100
END
VNum           13
Polymorph      0
Size	      2
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	1
Infrared		0
Swimming		0
Race_Full      Aquinis~
Race_Name      Aqu~
MStr           -2
MInt           3
MWis           5
MDex           -1
MCon           -3
MAgi           -1
MCha           20
MIheat         -20
MIpositive     -20
MIcold         -20
MInegative     -20
MIregen        -200
MIdynamic      -20
MIvoid         -20
MIpierce       15
MIslash        15
MIscratch      15
MIbash         15
MIinternal     15
LHuman         100
LElf           100
LDwarf         100
LQuicksilver   100
LMaudlin       100
LPixie         100
LFelixi        100
LDraconi       100
LCentaur       100
LKender        100
LMinotaur      100
LDrow          100
LAquinis       100
LTroll         100
END
VNum           14
Polymorph      0
Size	      3
Claws	      0
Gills	      0
Flying	      0
Acidblood	0
Truesight	0
Infrared		1
Swimming		1
Race_Full      Troll~
Race_Name      Tro~
MStr           1
MInt           -1
MWis           -2
MCon           3
MCha           12
MIregen        -250
MIdegen        -50
MIinternal     -50
LHuman         100
LTroll         100
END
VNum           15
Polymorph      1
Size	      3
Claws	      2
Gills	      1
Flying	      0
Acidblood	1
Truesight	0
Infrared		1
Swimming		1
Race_Full      Aquasapien~
Race_Name      Aqs~
MStr           1
MInt           1
MWis           1
MDex           1
MCon           1
MAgi           1
MCha           20
MIheat         10
MIcold         -10
MInegative     10
MIregen        -200
